col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
7,77,98,32,0,50,44,33,98,15
98,31,66,50,92,16,14,10,64,43
31,69,70,35,88,71,70,64,5,45
6,51,56,25,8,39,5,39,29,45
54,73,24,56,12,35,12,14,66,78
43,3,39,88,40,5,16,93,60,67
4,83,10,18,56,64,39,55,97,35
57,1,69,71,49,3,35,93,41,51
29,18,72,80,19,45,88,95,59,37
11,37,34,2,43,35,64,8,76,93
74,66,90,5,45,85,68,33,61,55
9,83,86,65,99,29,21,6,89,80
42,63,0,77,2,86,0,81,91,34
41,81,0,74,94,48,49,40,12,14
52,55,17,43,75,21,5,48,7,88
11,83,33,36,18,24,12,41,58,23
18,17,66,62,35,98,57,57,27,11
16,94,55,44,34,37,67,27,73,40
6,38,58,39,81,99,40,38,24,62
39,77,54,32,7,35,86,48,82,88
15,63,51,34,18,92,16,22,85,50
39,38,70,13,19,9,32,89,83,63
21,48,56,48,65,87,65,58,46,83
1,45,99,88,31,52,43,6,61,85
12,52,77,90,90,53,8,88,5,11
40,41,62,37,53,86,90,65,3,21
29,67,35,59,44,32,32,84,94,29
97,56,19,70,11,98,52,22,60,0
76,60,8,80,9,49,20,3,26,60
43,34,94,71,20,92,27,62,85,0
73,62,18,50,18,70,81,19,95,70
95,76,27,56,39,74,38,11,88,25
96,14,41,84,0,95,91,77,12,67
91,15,69,19,97,6,45,40,14,66
68,88,25,88,56,51,41,84,81,9
38,61,59,66,62,0,45,18,70,23
89,71,55,89,37,82,76,21,82,93
84,36,51,71,45,67,55,2,3,71
48,88,9,43,60,74,29,30,63,95
17,77,74,56,56,78,74,31,39,91
15,66,25,73,11,38,80,13,47,70
27,46,10,81,60,78,89,14,32,57
7,98,82,50,42,36,48,74,60,60
14,97,74,71,40,13,71,39,35,23
83,52,71,56,22,8,10,96,29,33
21,52,72,31,88,91,93,88,9,78
4,39,14,66,66,42,43,39,12,12
48,86,72,50,32,97,19,85,87,46
27,87,69,87,59,35,80,78,22,39
44,50,30,11,14,92,94,90,14,58
20,78,47,47,2,37,67,69,37,98
51,16,46,71,50,93,3,33,31,16
80,64,9,57,2,32,53,1,10,29
8,23,35,27,83,53,49,64,52,6
76,74,50,76,0,78,43,67,64,15
47,23,76,36,71,83,10,66,17,73
92,51,9,51,94,1,52,46,30,54
26,74,58,12,60,34,26,71,29,91
66,61,28,9,17,31,80,26,70,88
84,15,67,11,81,77,55,10,39,14
73,1,26,82,68,15,73,10,42,79
10,79,73,27,28,14,78,28,3,36
50,61,36,38,19,66,0,0,25,33
0,87,75,38,39,56,84,12,32,6
30,61,11,63,28,77,64,90,83,22
66,34,84,15,5,20,45,56,82,25
86,43,80,21,0,19,31,12,21,53
62,69,10,42,18,35,42,73,88,58
78,47,70,34,65,46,69,4,67,25
85,30,20,27,51,51,32,29,64,6
16,42,51,98,16,89,54,86,38,1
16,19,33,65,96,9,78,65,41,29
81,41,85,41,76,30,86,47,55,66
63,69,97,1,81,43,4,20,16,55
66,94,73,41,99,87,70,37,15,96
29,19,90,33,47,23,53,67,95,7
39,6,25,66,82,49,54,31,18,26
89,15,50,91,67,62,1,88,40,30
79,85,86,66,46,36,53,83,49,73
31,57,15,1,70,3,20,92,69,36
24,32,8,93,7,0,65,2,46,80
77,13,22,37,76,51,15,67,91,2
4,80,29,88,95,92,90,46,73,20
41,6,20,48,49,48,83,29,51,88
63,53,72,70,74,17,13,36,84,97
16,41,44,83,0,82,9,28,3,48
0,83,10,33,30,90,38,14,68,64
51,52,13,18,26,75,58,78,85,64
53,50,24,77,32,75,47,73,35,16
13,63,89,97,12,82,10,11,88,26
50,94,64,53,45,70,98,23,72,65
96,54,1,73,26,90,35,81,16,41
19,31,30,63,79,46,83,56,79,6
32,46,28,41,5,89,30,77,64,71
6,44,51,46,35,52,58,45,59,38
54,52,35,46,33,49,85,34,50,46
47,96,48,31,38,26,65,38,17,25
79,20,19,40,11,49,40,86,30,46
3,19,38,28,69,61,30,89,35,87
53,88,13,41,39,75,49,42,25,82
34,54,81,15,24,29,25,81,44,33
21,9,5,71,58,63,90,23,59,72
68,75,47,21,56,71,71,60,20,85
11,13,8,46,26,7,30,85,58,62
58,54,80,77,90,5,69,93,21,51
31,28,79,53,70,64,25,36,41,26
21,23,71,7,72,36,15,63,71,17
54,13,7,84,75,15,27,91,0,9
8,40,65,57,94,7,55,68,91,55
51,44,50,42,99,2,41,0,91,33
95,84,72,80,52,24,3,63,62,20
64,5,89,30,4,79,15,31,43,62
15,49,67,19,16,38,56,13,99,51
44,40,24,13,69,37,81,54,73,5
3,4,76,20,83,8,78,57,90,2
83,63,55,95,5,9,82,30,3,7
23,23,30,86,0,10,81,24,37,6
26,93,62,58,49,4,34,49,25,11
26,7,53,61,43,10,14,57,59,59
58,30,7,96,36,94,55,43,67,97
18,94,32,93,53,74,83,78,51,38
3,92,51,56,36,76,36,56,73,70
80,13,59,51,72,36,11,29,85,16
23,19,64,30,71,51,30,71,25,22
89,58,35,88,17,7,97,18,29,49
82,40,55,32,67,58,12,34,96,57
34,90,24,4,28,9,22,45,37,32
91,56,84,47,64,12,88,4,74,87
40,83,27,79,53,59,72,51,93,52
49,49,54,45,47,74,1,62,6,61
8,2,42,75,65,68,18,14,20,33
8,29,56,19,86,29,56,88,83,10
12,1,31,84,14,89,4,87,65,82
49,7,47,87,36,48,96,71,93,88
23,5,32,80,70,42,27,68,84,55
21,3,48,0,37,43,98,32,12,2
47,69,96,99,98,77,98,27,70,22
46,78,76,77,17,85,65,10,36,36
11,62,22,91,1,98,29,38,65,74
83,90,82,32,82,58,85,72,65,86
50,41,1,24,37,18,72,15,77,41
30,9,60,44,71,11,88,52,94,41
96,80,69,86,26,56,46,95,73,13
66,20,83,72,29,89,52,61,61,13
61,35,89,16,3,86,63,81,28,22
0,25,73,56,58,11,85,35,55,68
50,66,96,59,82,8,82,44,87,88
4,47,67,4,66,62,17,68,1,12
46,91,99,58,35,16,51,48,90,24
43,73,66,20,20,36,77,92,27,28
90,19,95,94,56,31,6,99,63,92
24,97,99,64,23,92,74,68,89,75
80,99,37,97,19,47,26,89,6,87
8,90,73,18,45,88,79,48,63,59
84,14,65,21,37,42,94,50,18,5
64,81,88,11,52,98,79,47,69,16
84,99,73,6,20,83,13,44,40,77
10,39,72,51,97,71,76,96,91,1
19,89,79,49,88,74,11,76,52,50
41,27,16,68,37,28,18,68,52,54
58,81,49,22,79,75,38,37,46,97
79,82,14,1,47,45,66,43,12,69
4,9,39,87,70,86,28,42,30,28
84,96,31,54,63,73,31,63,79,78
89,96,32,15,42,50,2,3,1,18
19,34,21,91,93,95,32,89,39,91
93,52,64,20,27,36,97,11,67,79
95,31,32,65,77,73,44,3,56,10
36,49,85,77,60,15,69,43,30,9
24,57,68,18,2,17,3,45,8,50
33,42,88,41,61,14,97,61,6,29
68,59,10,21,35,60,92,13,17,82
25,21,70,19,17,41,97,55,86,8
68,23,92,75,63,99,60,63,86,35
94,24,77,37,39,96,67,62,94,78
2,89,90,53,49,48,93,15,7,53
10,63,38,11,4,82,96,29,63,16
79,63,51,97,64,24,78,38,34,70
63,70,40,71,69,10,89,86,7,77
31,69,24,7,35,47,35,49,68,48
38,91,84,63,48,4,18,71,34,4
41,28,3,86,91,3,78,11,99,89
55,83,64,8,57,33,86,15,67,48
72,13,14,59,13,95,15,62,19,70
71,86,94,55,32,92,80,6,73,83
3,85,72,22,59,45,33,93,86,59
17,15,22,40,61,41,51,37,18,58
5,3,83,37,17,49,17,94,0,66
10,72,84,6,30,63,81,56,89,3
23,41,63,52,84,37,27,58,41,17
61,85,4,51,71,64,3,51,24,49
68,41,18,68,36,78,20,71,53,32
44,97,38,60,68,19,75,25,62,58
59,6,31,15,45,25,68,73,67,45
12,67,59,51,43,16,47,13,10,80
28,87,90,2,74,82,39,42,48,38
68,11,69,22,81,9,78,11,61,42
55,70,59,76,57,10,6,45,34,50
56,54,99,28,34,13,25,12,25,43
91,41,34,59,84,59,98,60,26,85
37,43,7,97,34,55,63,92,53,0
13,12,71,22,19,59,49,24,47,68
99,36,99,8,36,31,46,26,82,92
32,81,66,56,92,90,6,37,53,45
63,63,1,58,59,65,19,85,98,55
84,72,48,40,89,31,30,20,44,82
34,69,90,89,48,40,74,26,75,15
80,0,30,9,37,41,51,37,40,41
48,64,34,12,12,38,35,60,55,26
24,73,17,83,1,91,9,73,15,99
50,32,63,33,58,41,34,33,39,86
22,65,39,60,65,10,25,80,22,73
56,58,47,4,24,50,16,63,49,31
96,2,43,88,97,82,47,76,62,83
99,81,18,80,79,67,77,21,65,4
86,19,19,51,97,73,28,55,26,84
13,42,19,95,3,68,69,35,99,29
9,89,62,50,0,0,82,38,51,31
88,97,31,92,35,5,76,45,72,47
97,16,74,84,88,42,81,79,16,58
7,60,28,91,46,65,3,22,99,7
4,98,15,14,51,97,74,36,31,69
93,22,80,63,30,70,55,67,22,45
12,12,60,99,74,91,5,55,45,84
87,0,69,83,7,4,29,91,30,77
92,6,5,98,1,80,55,56,42,51
75,15,18,15,84,32,54,33,27,78
6,8,37,32,72,15,43,40,33,14
30,77,99,18,77,13,13,34,44,42
31,7,29,21,58,11,63,73,46,43
71,85,70,44,35,51,16,59,49,82
41,34,54,99,80,93,14,77,21,59
29,18,1,95,24,82,17,36,26,23
53,70,50,12,32,46,58,73,74,67
2,45,26,77,47,3,13,79,49,82
97,36,77,52,11,49,92,28,26,9
53,95,74,22,87,48,93,38,2,90
76,12,39,73,68,86,83,85,87,83
44,93,57,59,82,87,69,30,31,71
45,75,64,92,16,85,97,58,63,93
84,83,66,53,27,89,4,91,68,94
79,51,23,61,82,91,33,83,90,90
77,21,15,97,87,1,20,88,12,46
96,47,84,6,38,45,25,12,29,9
10,98,95,81,13,39,20,2,13,23
1,62,58,51,74,83,72,43,31,81
46,50,1,66,26,41,0,33,94,72
65,43,77,82,28,53,77,21,48,75
56,25,55,67,18,1,7,39,48,41
95,38,33,95,47,47,63,32,44,3
77,75,13,84,46,74,31,96,94,45
5,18,40,28,89,97,53,17,82,77
83,14,47,79,12,27,71,59,19,35
31,47,55,75,43,86,42,32,46,86
29,67,75,69,91,89,85,16,89,53
76,31,40,13,93,43,17,13,28,52
84,55,19,0,62,68,63,46,52,83
96,77,40,41,36,29,87,80,76,26
73,13,65,9,48,37,75,34,71,57
27,44,53,90,52,29,90,1,99,43
75,15,8,8,37,78,88,4,37,58
18,98,66,69,78,30,32,85,27,30
93,91,94,54,86,30,86,99,79,70
58,86,2,45,84,31,46,27,18,50
43,49,12,41,40,16,1,75,58,94
67,20,3,4,78,85,96,27,26,55
7,40,5,46,7,28,41,21,0,39
80,34,30,43,25,48,0,75,60,87
29,50,12,10,56,65,12,38,83,91
10,59,47,9,1,3,81,67,75,20
46,97,22,62,23,41,89,85,60,20
18,20,49,35,96,27,22,36,21,34
56,70,1,3,30,9,4,85,53,96
65,9,88,50,59,67,85,42,22,16
78,21,43,38,71,63,46,6,83,61
12,1,69,38,55,76,74,68,46,81
62,5,82,41,18,50,43,14,29,64
98,14,22,87,76,25,73,55,92,16
88,6,62,87,45,77,81,26,18,39
92,59,77,16,46,89,8,39,90,97
80,77,93,49,64,35,38,73,57,86
65,59,66,80,97,70,89,79,49,88
11,34,15,99,89,15,46,33,70,22
4,20,9,48,79,19,69,42,0,67
78,48,88,27,71,85,15,31,17,68
32,95,79,99,69,60,23,84,6,4
24,86,39,83,25,72,26,72,56,49
65,77,61,93,80,92,46,48,75,43
37,3,90,9,99,2,73,23,74,55
78,72,17,80,83,22,96,56,34,7
74,90,28,64,67,28,22,31,47,48
5,31,62,23,22,38,10,77,98,58
73,32,28,28,17,2,31,47,71,58
7,56,93,53,44,67,31,65,69,79
9,60,59,40,47,61,68,85,93,77
98,17,72,57,96,11,89,83,59,86
55,44,27,26,74,16,58,19,55,93
60,48,65,70,84,42,46,74,73,29
44,93,91,91,92,15,30,6,44,23
88,74,15,69,86,69,16,66,40,84
18,17,32,38,50,93,24,46,81,13
1,12,54,38,0,93,55,82,33,23
33,1,34,37,18,36,47,81,52,69
55,32,23,64,28,28,97,73,93,84
56,21,51,24,83,41,58,54,37,24
56,44,87,80,84,75,65,56,77,24
0,92,59,61,26,58,18,46,2,69
5,70,52,62,84,1,41,80,46,40
40,79,84,87,56,90,7,54,46,90
32,24,63,6,67,62,1,91,83,4
14,60,91,6,44,68,64,67,94,64
87,73,56,46,91,71,30,82,90,64
18,53,65,24,43,93,47,66,56,25
38,54,37,45,55,35,16,32,88,50
33,31,85,89,2,67,75,58,0,1
40,94,16,49,21,95,20,19,65,22
69,8,73,39,47,88,70,4,26,92
18,14,72,89,86,25,74,99,53,23
91,30,67,16,68,7,86,76,51,33
6,4,40,0,18,88,44,18,49,15
50,36,67,23,60,3,79,26,19,3
2,14,38,43,71,42,35,23,33,70
28,81,53,13,81,4,32,67,99,65
57,75,7,64,53,10,82,58,48,26
39,79,86,51,5,85,14,94,55,66
12,12,96,32,17,93,6,60,95,75
2,78,90,63,63,69,46,13,74,20
28,80,88,69,45,63,48,83,1,24
43,48,1,28,45,77,87,43,17,45
53,27,21,71,27,66,85,69,74,65
11,68,45,28,82,49,61,63,71,36
80,10,32,88,63,43,75,31,2,40
12,56,69,50,35,46,80,55,11,81
2,36,58,51,59,49,73,13,57,20
26,8,82,87,88,71,68,17,14,92
88,78,4,15,19,11,73,99,24,16
95,74,73,87,97,4,45,12,74,87
67,49,29,66,81,49,42,74,8,41
73,3,56,89,20,93,51,84,9,41
35,99,58,47,29,94,98,11,35,85
49,74,18,64,75,97,82,1,94,19
74,95,74,54,33,14,67,44,23,67
53,82,71,73,41,41,20,56,17,51
50,19,47,16,94,49,20,66,21,14
13,45,18,82,3,14,70,74,88,2
67,17,56,56,44,0,87,96,28,67
48,67,39,39,32,17,49,19,33,79
30,23,28,19,14,50,19,67,53,58
33,0,88,72,48,82,98,76,15,32
91,6,91,80,84,47,21,57,56,54
77,53,80,52,41,65,72,76,35,5
88,54,67,58,90,77,0,36,23,94
56,75,75,41,67,89,75,33,75,80
99,17,29,49,74,9,69,7,88,76
86,15,70,83,65,0,31,22,57,28
11,60,17,39,65,24,70,64,39,95
36,99,6,72,76,74,50,53,89,72
91,95,6,42,21,29,36,95,19,18
6,58,69,33,41,20,20,9,98,2
17,1,97,25,27,43,15,42,99,83
39,31,56,56,80,48,82,43,36,69
27,39,41,21,19,56,99,96,89,82
81,80,60,49,38,27,16,99,14,99
97,10,22,83,45,17,57,95,24,50
78,26,53,10,35,23,26,32,64,23
35,14,31,61,55,28,71,97,35,67
47,45,76,11,29,60,56,74,43,59
78,51,21,70,55,78,68,99,16,2
58,90,79,11,26,11,78,56,18,43
63,46,16,96,69,7,52,42,15,4
88,96,59,28,45,2,98,59,64,81
70,10,61,84,29,22,60,82,8,74
92,48,38,90,91,24,97,68,87,31
39,70,76,8,72,38,82,89,93,74
63,35,65,41,7,14,41,96,62,56
81,88,88,12,10,78,9,78,32,98
48,10,79,61,95,73,21,74,64,28
22,94,67,27,75,45,43,74,99,10
9,4,98,18,91,17,24,87,52,85
28,37,74,60,8,90,5,42,16,80
71,97,99,16,99,57,46,73,11,95
98,78,77,6,56,77,24,19,15,81
12,34,97,54,26,22,83,49,76,61
99,36,17,24,29,57,21,82,13,95
12,21,39,78,5,2,83,18,91,30
82,91,61,23,12,15,30,15,5,64
5,13,49,30,18,72,16,44,4,53
24,76,3,13,81,18,38,54,4,24
13,23,53,69,61,3,5,15,13,11
43,78,78,82,9,28,70,95,36,76
54,4,61,75,35,51,20,55,63,66
58,20,64,80,57,58,69,11,68,70
42,85,12,34,51,95,90,58,24,25
22,8,41,84,46,0,97,22,8,75
59,16,18,29,50,27,60,45,54,48
87,10,66,62,58,36,0,75,26,66
71,21,79,40,29,48,48,29,3,2
12,15,72,46,41,34,4,92,34,77
60,94,24,19,30,74,82,65,7,21
25,57,27,82,34,96,95,38,18,91
87,96,25,13,91,87,63,75,77,88
76,77,71,61,39,78,72,93,20,32
24,23,87,59,47,80,82,18,92,85
25,73,64,13,42,69,49,71,28,77
86,97,16,39,35,32,89,90,91,76
30,57,70,69,63,42,12,95,54,67
70,94,76,7,44,38,25,76,32,72
94,33,22,64,85,39,43,99,97,41
54,24,22,85,72,59,75,42,74,26
56,0,59,65,41,16,96,37,24,77
80,72,48,82,16,88,83,22,86,78
22,23,41,43,94,18,99,61,15,0
90,90,63,18,83,29,88,22,45,87
64,48,64,43,18,40,90,79,53,38
82,48,98,37,11,50,1,54,25,55
4,94,65,38,87,14,54,75,97,20
6,77,95,31,84,30,42,16,27,7
24,46,9,68,37,38,62,10,89,50
42,88,3,78,84,23,3,51,94,87
22,48,40,53,6,39,35,42,59,15
24,63,21,32,36,29,48,47,58,35
98,37,16,89,27,36,30,76,40,27
0,69,27,13,55,24,70,59,62,53
10,55,22,51,58,4,56,91,74,38
36,22,53,69,84,84,13,12,14,37
65,32,73,72,27,13,99,18,72,79
53,99,14,63,30,96,41,9,74,42
91,33,49,83,92,97,46,49,38,19
32,17,73,8,83,31,76,21,20,76
59,31,50,50,11,29,80,59,31,87
26,85,2,7,85,37,52,81,65,58
60,10,0,32,42,92,69,86,99,26
75,33,10,85,33,9,25,68,86,61
41,1,53,24,93,46,21,52,46,96
42,2,7,89,1,94,16,40,4,61
16,88,55,73,61,57,56,19,65,67
68,27,87,83,70,24,35,58,85,89
43,2,89,55,93,78,0,76,78,54
9,84,48,94,43,54,5,71,73,54
97,4,44,79,55,82,34,27,59,5
3,7,51,52,81,85,77,24,2,28
73,49,50,25,2,28,51,36,57,97
65,66,24,64,18,72,73,62,83,23
48,47,68,8,17,41,34,93,47,5
33,44,27,25,20,85,32,48,98,28
66,88,17,89,2,59,25,46,86,0
