Wyksztalcenie,Dochod,LDniOdOstWizyty,WydatkiWino,WydatkiOwoce,WydatkiMieso,WydatkiRyby,WydatkiSlodycze,IloscZakupowInternet,IloscZakupowKatalog,IloscZakupowWSklepie,LOdwiedzinStrony,OdKiedyKlient,Wiek,Spent,MieszkaZ,LDzieci,LOsobGospDom,CzyRodzic
Graduate,18589.0,89,6,4,25,15,12,2,1,3,7,12.13141683778234,56,75,Alone,0,1,0
Graduate,53359.0,4,173,4,30,3,6,5,1,4,7,11.734428473648189,49,257,Partner,2,4,1
Graduate,38360.0,26,36,2,42,20,21,2,1,4,3,11.723477070499658,36,131,Partner,1,3,1
Postgraduate,84618.0,96,684,100,801,21,66,6,9,10,2,11.24435318275154,60,1672,Partner,0,2,0
Postgraduate,10979.0,34,8,4,10,2,2,3,0,3,5,10.74880219028063,36,30,Alone,0,1,0
Postgraduate,38620.0,56,112,17,44,34,22,2,5,3,3,11.7782340862423,62,318,Partner,0,2,0
Graduate,40548.0,31,110,0,5,2,0,2,1,4,5,12.361396303901437,55,120,Partner,1,3,1
Postgraduate,46610.0,8,96,12,96,33,22,4,1,6,6,12.309377138945928,73,302,Alone,2,3,1
Postgraduate,68657.0,4,482,34,471,119,68,3,5,9,7,11.997262149212869,79,1196,Partner,0,2,0
Postgraduate,49389.0,55,40,0,19,2,1,2,0,3,7,11.477070499657769,74,65,Alone,2,3,1
Postgraduate,67353.0,37,702,17,151,0,8,5,6,12,2,11.137577002053389,55,913,Partner,1,3,1
Undergraduate,23718.0,76,6,3,14,15,7,3,1,2,7,11.46611909650924,49,81,Partner,1,3,1
Graduate,42429.0,99,55,0,6,2,0,1,1,3,5,11.02258726899384,52,67,Alone,1,2,1
Postgraduate,48948.0,53,437,8,206,160,49,7,10,5,6,12.049281314168375,82,902,Alone,0,1,0
Graduate,80011.0,3,421,76,536,82,178,8,6,5,4,11.811088295687885,45,1395,Partner,1,3,1
Postgraduate,20559.0,88,13,1,29,3,0,2,0,3,8,11.942505133470226,40,53,Partner,1,3,1
Graduate,21994.0,4,9,0,6,3,1,0,0,3,5,12.15605749486653,68,22,Partner,1,3,1
Postgraduate,7500.0,19,3,1,10,3,2,2,0,3,5,11.383983572895277,50,31,Partner,1,3,1
Graduate,79941.0,72,123,164,266,227,30,2,4,9,1,10.647501711156742,49,984,Alone,0,1,0
Undergraduate,7500.0,24,3,18,14,15,22,3,1,3,9,12.279260780287474,29,122,Partner,0,2,0
Graduate,41728.0,92,13,6,15,3,5,2,0,2,10,11.742642026009582,57,55,Partner,1,3,1
Postgraduate,72550.0,39,826,50,317,50,38,5,2,12,8,12.281998631074606,71,1319,Partner,2,4,1
Graduate,65486.0,29,245,19,125,37,67,4,2,10,2,10.77618069815195,68,507,Alone,1,2,1
Postgraduate,79143.0,2,650,37,780,27,167,6,9,13,3,12.525667351129364,61,1693,Partner,0,2,0
Graduate,35790.0,54,12,6,20,30,1,2,0,3,7,12.13141683778234,48,72,Alone,1,2,1
Graduate,82582.0,54,510,120,550,156,40,4,9,7,1,10.704996577686517,48,1617,Alone,0,1,0
Graduate,66373.0,57,328,9,124,12,24,4,2,10,3,11.690622861054072,47,606,Partner,2,4,1
Postgraduate,82384.0,55,984,51,432,180,120,3,10,13,1,12.251882272416154,70,1957,Partner,0,2,0
Graduate,70287.0,30,295,35,482,121,120,5,5,10,3,11.885010266940451,59,1093,Alone,0,1,0
Graduate,27938.0,31,13,0,8,2,1,1,0,4,3,10.8145106091718,37,29,Alone,1,2,1
Postgraduate,55954.0,63,447,0,28,0,0,8,2,6,7,10.967830253251195,57,518,Partner,1,3,1
Postgraduate,75777.0,12,712,26,538,69,13,3,6,11,1,11.630390143737166,43,1438,Alone,0,1,0
Graduate,66653.0,18,452,18,102,16,18,4,2,12,3,12.451745379876796,50,612,Partner,2,4,1
Graduate,61823.0,26,523,7,134,37,14,8,2,10,7,12.002737850787131,73,884,Alone,1,2,1
Postgraduate,67680.0,8,546,0,48,0,6,7,3,8,5,11.693360711841205,74,606,Alone,1,2,1
Graduate,70666.0,29,398,40,367,119,122,7,4,4,4,11.206023271731691,77,1076,Partner,0,2,0
Graduate,25721.0,75,1,3,6,3,6,1,1,2,7,11.75085557837098,54,34,Partner,1,3,1
Graduate,32474.0,0,10,0,1,0,0,1,0,2,7,10.778918548939084,58,11,Partner,2,4,1
Undergraduate,88194.0,19,688,14,309,201,24,11,10,10,5,10.924024640657084,46,1274,Alone,1,2,1
Graduate,69096.0,4,247,49,159,7,82,5,2,10,4,11.397672826830938,67,653,Partner,1,3,1
Graduate,74854.0,90,856,59,487,58,29,2,5,5,5,11.86858316221766,55,1562,Partner,3,5,1
Postgraduate,66991.0,1,496,36,460,189,60,4,8,6,3,12.44079397672827,71,1253,Partner,0,2,0
Graduate,65031.0,29,258,107,291,84,37,10,3,13,7,11.928815879534566,66,863,Partner,1,3,1
Postgraduate,60631.0,88,565,6,65,0,6,9,2,8,7,11.876796714579056,50,661,Partner,2,4,1
Graduate,28332.0,58,14,10,13,4,15,2,1,4,2,10.809034907597535,73,65,Partner,0,2,0
Graduate,40246.0,68,2,1,6,2,1,1,0,2,6,12.16974674880219,48,13,Alone,1,2,1
Postgraduate,75251.0,34,721,111,925,97,18,7,6,5,5,12.48186173853525,53,1890,Partner,0,2,0
Graduate,75825.0,40,1032,105,779,137,105,5,8,9,4,12.355920602327172,49,2209,Alone,0,1,0
Undergraduate,26326.0,12,1,0,5,0,3,0,0,3,3,11.460643394934976,49,18,Partner,0,2,0
Graduate,56046.0,9,577,0,64,0,0,10,1,8,8,12.13141683778234,60,692,Partner,0,2,0
Graduate,29760.0,87,64,4,68,7,5,3,1,4,8,12.476386036960983,40,165,Alone,1,2,1
Graduate,26304.0,5,4,1,5,2,0,1,0,2,7,11.66050650239562,56,16,Partner,1,3,1
Undergraduate,23559.0,87,25,5,19,7,0,3,0,3,7,11.633127994524298,52,79,Partner,1,3,1
Postgraduate,38620.0,56,112,17,44,34,22,2,5,3,3,11.7782340862423,62,318,Partner,0,2,0
Graduate,81361.0,18,163,23,424,27,65,3,10,13,1,10.984257357973991,38,778,Alone,0,1,0
Graduate,29440.0,95,17,8,14,10,4,1,0,4,7,11.526351813826146,65,56,Partner,2,4,1
Postgraduate,36138.0,48,130,0,16,0,0,3,1,4,7,11.597535934291582,55,151,Partner,2,4,1
Graduate,50388.0,3,292,6,37,0,3,6,1,6,7,10.732375085557836,68,372,Alone,1,2,1
Graduate,79593.0,70,350,60,568,110,133,5,6,7,2,10.77618069815195,52,1366,Partner,0,2,0
Graduate,54178.0,79,135,9,39,4,0,2,2,5,2,11.080082135523616,58,194,Partner,1,3,1
Postgraduate,42394.0,69,15,2,10,0,1,1,0,3,7,10.913073237508556,53,32,Alone,1,2,1
Postgraduate,23626.0,84,27,2,14,0,0,3,1,3,5,10.743326488706366,55,43,Partner,1,3,1
Graduate,30096.0,30,5,3,11,12,5,2,0,3,6,10.74880219028063,42,45,Partner,1,3,1
Graduate,47916.0,72,505,0,26,0,0,7,4,6,6,12.243668720054757,65,606,Alone,1,2,1
Graduate,51813.0,37,51,2,7,0,1,2,0,3,7,11.860369609856264,53,63,Alone,2,3,1
Undergraduate,78497.0,44,207,26,447,75,0,5,7,12,2,11.219712525667353,74,978,Partner,0,2,0
Postgraduate,50150.0,32,135,46,92,65,61,5,2,7,5,11.668720054757015,42,410,Partner,0,2,0
Undergraduate,47823.0,0,53,1,5,2,1,2,0,3,8,11.578370978781656,65,72,Alone,1,2,1
Postgraduate,34554.0,43,41,1,6,2,0,2,0,3,6,10.89390828199863,66,55,Alone,1,2,1
Graduate,85693.0,59,386,172,183,185,132,9,5,11,5,11.835728952772074,46,1169,Partner,1,3,1
Postgraduate,65846.0,68,562,81,276,80,40,6,3,6,4,11.761806981519507,80,1120,Partner,0,2,0
Graduate,87195.0,35,217,76,690,50,26,3,11,5,1,10.78713210130048,66,1097,Partner,0,2,0
Undergraduate,24594.0,94,1,3,6,10,0,1,0,3,5,11.19507186858316,46,29,Partner,1,3,1
Graduate,49096.0,15,144,1,32,2,1,4,1,4,7,11.405886379192332,61,187,Partner,2,4,1
Graduate,52413.0,56,295,106,271,75,98,6,4,12,6,12.046543463381246,56,910,Partner,2,4,1
Graduate,38557.0,17,76,3,31,4,4,3,1,3,7,12.16974674880219,47,145,Alone,1,2,1
Postgraduate,89058.0,18,454,194,106,31,22,5,4,4,2,12.202600958247777,65,850,Partner,0,2,0
Graduate,77298.0,46,425,115,292,23,35,6,6,11,3,11.299110198494182,46,969,Partner,1,3,1
Postgraduate,68126.0,40,1332,17,311,23,51,7,4,5,9,12.276522929500342,34,1820,Alone,0,1,0
Postgraduate,57288.0,27,527,0,21,0,0,8,1,8,6,10.655715263518138,62,608,Partner,1,3,1
Graduate,86037.0,95,490,44,125,29,20,6,7,11,3,12.13141683778234,34,730,Alone,0,1,0
Postgraduate,43974.0,19,378,0,101,0,0,6,4,6,7,12.188911704312115,45,551,Partner,1,3,1
Graduate,50785.0,27,64,1,21,0,1,2,1,3,6,11.444216290212184,63,114,Alone,2,3,1
Graduate,90765.0,25,547,99,812,151,82,4,6,5,1,11.071868583162216,55,1724,Partner,0,2,0
Undergraduate,36550.0,74,47,90,94,123,103,9,1,5,9,12.0,47,577,Partner,1,3,1
Undergraduate,30753.0,85,12,5,25,0,9,1,1,3,5,11.61122518822724,58,81,Partner,2,4,1
Graduate,21918.0,37,1,6,7,11,5,2,0,3,6,11.266255989048595,56,33,Partner,1,3,1
Postgraduate,56129.0,65,320,48,133,39,72,6,2,10,4,11.668720054757015,72,660,Partner,1,3,1
Postgraduate,32557.0,13,34,3,29,0,4,2,1,3,5,10.986995208761122,58,80,Alone,1,2,1
Postgraduate,19510.0,63,9,0,7,3,4,1,0,3,7,11.460643394934976,40,30,Partner,2,4,1
Graduate,30992.0,83,17,0,14,7,3,1,0,3,7,11.83025325119781,49,43,Alone,1,2,1
Graduate,101970.0,69,722,27,102,44,72,6,8,13,2,11.942505133470226,42,1135,Alone,0,1,0
Undergraduate,71488.0,87,162,33,124,40,28,3,4,7,1,12.002737850787131,60,559,Partner,0,2,0
Graduate,79607.0,37,450,133,951,173,0,3,6,6,1,11.83299110198494,41,1923,Alone,0,1,0
Postgraduate,54348.0,51,70,0,16,0,0,2,0,4,6,10.702258726899384,72,90,Partner,2,4,1
Postgraduate,77376.0,72,492,19,110,16,12,6,3,10,4,10.781656399726216,69,661,Partner,2,4,1
Graduate,62998.0,10,120,58,73,65,89,5,4,5,5,11.38945927446954,73,463,Partner,1,3,1
Postgraduate,61331.0,42,534,5,47,0,5,11,1,6,8,11.94798083504449,67,632,Alone,2,3,1
Graduate,73448.0,10,236,106,189,23,41,7,2,9,4,11.025325119780971,56,725,Partner,0,2,0
Postgraduate,41551.0,51,220,0,33,3,0,5,1,5,8,11.51813826146475,61,279,Partner,2,4,1
Postgraduate,62981.0,21,796,14,590,38,44,4,5,13,3,11.928815879534566,58,1482,Partner,0,2,0
Undergraduate,9548.0,31,0,1,3,10,6,1,0,3,8,12.53388090349076,49,29,Alone,1,2,1
Postgraduate,33762.0,61,53,1,34,2,0,2,2,2,8,11.62217659137577,66,106,Partner,3,5,1
Postgraduate,35860.0,37,15,0,8,4,2,1,1,2,5,10.757015742642023,52,49,Alone,2,3,1
Postgraduate,36921.0,74,17,1,12,3,1,2,0,3,7,11.564681724845997,60,38,Alone,2,3,1
Postgraduate,92859.0,46,962,61,921,52,61,5,4,12,2,12.336755646817249,33,2077,Alone,0,1,0
Postgraduate,65104.0,4,738,0,232,13,20,3,5,7,7,11.266255989048595,49,1053,Partner,1,3,1
Graduate,86111.0,73,399,28,756,36,40,5,7,10,2,11.838466803559204,63,1385,Partner,0,2,0
Postgraduate,68352.0,47,614,16,132,43,33,8,5,9,6,11.4798083504449,51,871,Alone,1,2,1
Graduate,41883.0,13,32,34,41,73,16,4,2,3,7,11.9233401779603,37,312,Partner,1,3,1
Graduate,59809.0,36,598,16,141,32,41,3,3,6,8,12.33949349760438,49,877,Partner,2,4,1
Graduate,23957.0,47,2,1,18,20,11,2,0,3,6,12.31211498973306,50,68,Partner,1,3,1
Graduate,38547.0,49,6,1,10,0,1,1,0,2,8,11.4798083504449,44,22,Partner,1,3,1
Undergraduate,35688.0,94,73,3,90,12,1,4,1,4,8,12.49555099247091,52,211,Partner,3,5,1
Postgraduate,49605.0,65,42,16,29,12,20,2,1,4,3,10.666666666666666,59,127,Partner,0,2,0
Postgraduate,59354.0,59,295,21,78,39,13,4,4,7,3,10.825462012320328,72,459,Partner,2,4,1
Graduate,65747.0,96,346,17,48,23,13,8,1,6,6,10.956878850102669,56,460,Partner,1,3,1
Undergraduate,46344.0,28,233,20,57,8,20,7,1,5,7,12.183436002737851,53,429,Partner,1,3,1
Graduate,34176.0,12,5,7,24,19,14,3,0,4,6,10.77618069815195,37,89,Alone,1,2,1
Postgraduate,61010.0,57,888,0,57,0,0,8,5,11,5,12.36413415468857,73,1021,Partner,1,3,1
Graduate,69372.0,10,997,26,269,34,13,10,4,6,4,12.0,76,1381,Partner,0,2,0
Graduate,49967.0,4,212,6,69,4,12,6,1,5,7,11.619438740588638,67,306,Alone,1,2,1
Graduate,60199.0,49,8,1,7,2,0,0,0,3,4,11.43874058863792,47,18,Alone,3,4,1
Graduate,55375.0,3,42,11,57,10,28,1,1,6,2,11.342915811088297,48,162,Partner,1,3,1
Graduate,80317.0,64,536,11,387,149,91,3,4,10,1,11.501711156741958,70,1231,Alone,0,1,0
Postgraduate,30523.0,0,5,0,3,0,0,1,0,2,7,11.638603696098563,67,13,Alone,3,4,1
Postgraduate,70356.0,20,1349,16,249,43,16,10,6,9,6,12.290212183436005,80,1706,Partner,0,2,0
Graduate,23228.0,91,53,3,49,7,4,3,0,4,8,11.123887748117728,41,121,Partner,1,3,1
Postgraduate,74165.0,9,1001,12,240,16,12,5,4,10,2,11.80561259411362,50,1293,Alone,0,1,0
Postgraduate,157243.0,98,20,2,1582,1,2,0,22,0,0,10.97330595482546,52,1608,Partner,1,3,1
Graduate,43482.0,83,18,1,32,6,3,2,0,4,6,11.268993839835728,59,88,Partner,3,5,1
Graduate,62551.0,27,125,16,98,134,21,6,7,4,3,11.255304585900069,72,421,Alone,0,1,0
Graduate,52332.0,63,212,5,33,7,0,3,2,6,4,11.4798083504449,66,259,Alone,0,1,0
Graduate,66951.0,46,277,162,305,173,76,3,4,7,1,11.299110198494182,37,1117,Alone,0,1,0
Graduate,26091.0,84,15,10,19,8,17,2,1,3,5,10.984257357973991,68,89,Partner,2,4,1
Graduate,33456.0,58,7,3,10,8,1,1,0,3,7,10.833675564681725,60,36,Partner,2,4,1
Graduate,28718.0,78,12,4,6,11,8,2,0,3,8,11.605749486652975,43,57,Partner,1,3,1
Graduate,50447.0,4,85,7,24,2,3,3,1,3,6,10.833675564681725,55,148,Partner,2,4,1
Postgraduate,53537.0,17,81,0,6,0,0,2,1,3,5,11.055441478439423,66,93,Partner,2,4,1
Graduate,52074.0,77,59,0,12,0,0,2,2,2,4,10.880219028062973,58,119,Alone,1,2,1
Postgraduate,80427.0,56,1149,71,449,69,71,11,8,8,5,12.438056125941136,50,1835,Partner,1,3,1
Postgraduate,83837.0,79,847,66,119,86,89,9,10,5,4,12.177960301163589,77,1318,Partner,0,2,0
Postgraduate,38853.0,90,29,0,14,0,0,2,0,3,7,10.746064339493495,55,45,Partner,2,4,1
Graduate,38285.0,96,2,0,5,2,0,0,0,3,2,10.65845311430527,66,10,Partner,3,5,1
Undergraduate,78497.0,44,207,26,447,75,0,5,7,12,2,11.219712525667353,74,978,Partner,0,2,0
Postgraduate,51650.0,81,152,3,22,2,5,4,1,4,5,10.778918548939084,49,191,Partner,1,3,1
Undergraduate,16248.0,77,12,11,10,3,12,2,1,3,6,10.781656399726216,37,57,Partner,1,3,1
Postgraduate,66835.0,21,620,26,195,34,17,6,4,13,2,11.394934976043803,79,1033,Partner,0,2,0
Postgraduate,30477.0,16,47,1,6,0,0,1,1,3,6,11.077344284736482,41,66,Partner,1,3,1
Undergraduate,28249.0,80,1,9,7,2,14,2,0,3,6,10.683093771389458,64,43,Partner,0,2,0
Graduate,25271.0,45,10,1,18,10,4,1,1,2,9,12.20807665982204,42,50,Partner,1,3,1
Postgraduate,32303.0,63,35,0,2,0,0,1,0,4,5,10.954140999315538,55,39,Alone,1,2,1
Graduate,61286.0,34,356,0,107,19,9,7,1,8,5,11.550992470910336,59,608,Partner,1,3,1
Graduate,74068.0,14,783,30,537,140,76,4,10,9,2,11.9233401779603,49,1581,Partner,0,2,0
Postgraduate,45759.0,13,42,1,18,3,0,2,0,3,7,11.989048596851472,61,68,Partner,2,4,1
Undergraduate,24882.0,52,1,4,10,29,0,1,1,2,6,12.446269678302532,47,80,Partner,1,3,1
Postgraduate,66973.0,98,466,22,432,147,113,8,7,12,3,11.761806981519507,36,1282,Partner,0,2,0
Graduate,38872.0,93,23,3,21,3,19,3,0,3,8,11.72621492128679,37,91,Partner,1,3,1
Graduate,51148.0,38,235,6,45,8,9,5,1,6,6,12.002737850787131,52,315,Partner,2,4,1
Graduate,31353.0,24,10,0,10,3,1,1,1,2,8,11.143052703627651,48,31,Partner,2,4,1
Postgraduate,69661.0,80,656,16,106,32,16,7,3,12,3,10.77344284736482,45,834,Partner,0,2,0
Graduate,80067.0,82,519,17,813,27,173,4,6,6,2,11.419575633127996,71,1600,Partner,0,2,0
Graduate,86718.0,20,344,189,482,50,33,5,6,5,2,12.09034907597536,71,1270,Partner,0,2,0
Postgraduate,46854.0,81,96,1,79,7,1,5,1,3,8,10.8911704312115,52,263,Alone,2,3,1
Graduate,69142.0,50,448,4,34,6,4,8,1,7,5,10.64476386036961,73,535,Alone,1,2,1
Graduate,75922.0,60,265,138,553,224,23,4,4,9,1,11.197809719370294,57,1295,Alone,0,1,0
Graduate,63693.0,63,587,43,337,42,87,11,6,9,6,11.351129363449692,47,1150,Alone,1,2,1
Postgraduate,102160.0,54,763,29,138,76,176,7,9,10,4,12.2984257357974,48,1240,Partner,0,2,0
Postgraduate,40637.0,72,22,0,13,0,0,1,0,3,7,11.594798083504449,60,38,Alone,2,3,1
Postgraduate,18890.0,5,6,4,1,7,2,0,1,2,6,12.276522929500342,41,35,Alone,0,1,0
Graduate,29604.0,88,7,6,13,7,6,1,0,3,9,11.200547570157427,37,53,Partner,1,3,1
Postgraduate,48721.0,50,81,18,113,47,13,4,2,5,6,11.772758384668036,62,293,Alone,2,3,1
Graduate,44794.0,99,54,0,7,0,0,2,0,3,6,10.702258726899384,59,65,Partner,1,3,1
Graduate,64497.0,17,1170,48,320,42,32,11,4,9,8,12.4435318275154,71,1804,Alone,1,2,1
Graduate,46097.0,11,72,24,68,65,4,3,1,6,4,11.890485968514716,69,241,Partner,1,3,1
Graduate,77972.0,18,613,22,319,33,102,4,6,9,1,10.926762491444215,71,1101,Partner,0,2,0
Postgraduate,44377.0,70,224,0,30,0,0,5,1,5,8,12.375085557837098,57,264,Partner,2,4,1
Postgraduate,46014.0,21,410,0,59,19,9,7,1,8,7,12.07939767282683,51,541,Partner,2,4,1
Graduate,70951.0,66,239,10,554,254,87,3,4,9,1,11.797399041752223,40,1198,Partner,0,2,0
Graduate,41443.0,79,171,7,171,25,19,8,1,5,8,10.888432580424366,48,482,Partner,1,3,1
Undergraduate,52195.0,2,12,0,4,0,0,1,0,2,8,10.77618069815195,47,17,Alone,3,4,1
Postgraduate,83790.0,81,1076,16,417,42,48,8,10,6,3,11.263518138261464,77,1615,Partner,0,2,0
Postgraduate,44551.0,24,182,4,33,0,0,4,1,5,7,11.471594798083505,71,285,Alone,1,2,1
Graduate,69508.0,48,824,32,162,42,32,11,4,11,6,12.265571526351811,45,1135,Partner,1,3,1
Undergraduate,45204.0,93,30,11,25,29,1,1,1,4,3,10.861054072553046,37,114,Partner,1,3,1
Graduate,72460.0,56,377,10,540,80,30,3,5,7,1,11.266255989048595,56,1047,Partner,0,2,0
Postgraduate,77622.0,3,520,7,154,19,0,6,3,11,3,10.85284052019165,55,714,Partner,2,4,1
Postgraduate,30732.0,44,155,1,25,0,1,4,1,4,8,12.123203285420944,45,185,Partner,1,3,1
Graduate,63887.0,38,897,23,207,15,11,9,6,12,6,12.449007529089664,63,1245,Alone,1,2,1
Graduate,42011.0,46,131,0,16,2,1,3,1,4,8,11.904175222450377,47,189,Partner,1,3,1
Graduate,51369.0,84,297,7,79,0,11,8,2,4,8,12.320328542094456,49,576,Partner,1,3,1
Graduate,51537.0,27,787,20,204,0,0,2,2,11,8,12.19712525667351,73,1103,Alone,1,2,1
Postgraduate,79930.0,72,792,86,740,67,51,3,5,8,2,12.53388090349076,53,1753,Partner,0,2,0
Postgraduate,34320.0,66,4,1,9,3,0,1,0,2,8,11.00889801505818,39,17,Partner,1,3,1
Graduate,37070.0,30,231,7,137,4,15,5,1,8,7,11.92060232717317,59,433,Alone,2,3,1
Undergraduate,81975.0,2,983,76,184,180,138,6,3,4,7,12.123203285420944,63,1588,Alone,1,2,1
Graduate,38590.0,65,3,1,8,4,3,1,0,2,8,11.767282683093772,54,22,Partner,1,3,1
Graduate,15033.0,37,0,4,5,6,0,1,0,3,3,10.847364818617386,74,19,Alone,0,1,0
Postgraduate,62745.0,89,562,21,464,28,10,7,8,11,5,11.912388774811772,60,1117,Partner,1,3,1
Undergraduate,22212.0,49,5,9,20,6,8,2,0,4,6,11.197809719370294,50,69,Partner,1,3,1
Postgraduate,23661.0,46,18,0,4,0,0,1,0,3,7,11.211498973305956,43,23,Partner,1,3,1
Postgraduate,79761.0,32,415,5,124,15,35,5,2,11,3,11.378507871321013,67,605,Alone,1,2,1
Graduate,7500.0,54,5,3,10,12,7,3,1,3,7,11.151266255989048,52,57,Alone,1,2,1
Graduate,73455.0,98,901,61,757,186,163,6,5,10,3,11.312799452429845,57,2088,Alone,0,1,0
Graduate,64961.0,97,382,114,276,75,124,6,4,4,3,12.158795345653662,67,1009,Partner,1,3,1
Graduate,22804.0,75,14,1,7,2,1,2,0,2,9,11.5564681724846,54,26,Alone,1,2,1
Graduate,73687.0,8,559,153,503,218,13,3,9,9,2,11.227926078028748,35,1627,Partner,0,2,0
Graduate,61074.0,37,789,0,133,0,28,11,5,8,7,12.509240246406572,67,1102,Partner,1,3,1
Postgraduate,31686.0,31,11,0,5,0,0,1,0,3,6,10.71047227926078,61,17,Partner,2,4,1
Graduate,80134.0,40,1218,16,272,104,0,5,3,6,6,11.75359342915811,53,1690,Partner,1,3,1
Graduate,75027.0,74,925,64,179,133,12,9,4,6,5,12.112251882272416,72,1390,Partner,1,3,1
Postgraduate,67546.0,90,864,134,768,150,38,4,10,5,3,12.47091033538672,37,2126,Partner,0,2,0
Postgraduate,65176.0,57,960,28,183,220,70,9,6,6,6,12.309377138945928,56,1531,Partner,1,3,1
Postgraduate,31160.0,59,16,3,25,6,1,2,0,3,8,11.427789185489392,50,64,Alone,1,2,1
Graduate,29938.0,52,3,3,7,0,2,1,0,3,6,11.315537303216974,40,26,Alone,1,2,1
Graduate,102692.0,5,168,148,444,32,172,6,9,13,2,11.876796714579056,51,1112,Alone,0,1,0
Undergraduate,26490.0,92,45,47,52,21,20,3,1,5,6,12.410677618069816,67,210,Partner,0,2,0
Graduate,75702.0,77,650,28,353,45,42,4,6,11,8,12.476386036960983,58,1148,Partner,2,4,1
Postgraduate,30899.0,35,24,0,8,0,0,1,0,3,6,12.35318275154004,51,33,Alone,1,2,1
Postgraduate,63342.0,48,918,21,118,13,10,8,3,5,6,12.344969199178644,64,1101,Partner,1,3,1
Graduate,45989.0,97,138,33,87,28,24,3,2,7,3,12.328542094455852,61,322,Alone,1,2,1
Graduate,18701.0,95,12,4,2,10,6,2,0,4,5,11.71252566735113,61,44,Alone,2,3,1
Postgraduate,40737.0,24,11,0,4,0,0,1,0,2,8,11.200547570157427,68,17,Alone,3,4,1
Graduate,15287.0,60,1,2,8,4,3,1,1,2,7,12.361396303901437,46,31,Alone,1,2,1
Postgraduate,69674.0,46,554,41,215,11,0,10,2,10,5,11.748117727583846,57,845,Alone,2,3,1
Postgraduate,44159.0,85,167,2,62,24,13,4,1,6,5,10.677618069815194,55,275,Partner,1,3,1
Postgraduate,37717.0,31,9,0,6,4,1,1,0,2,9,12.240930869267626,47,25,Partner,1,3,1
Postgraduate,43776.0,9,177,2,71,3,2,5,2,4,8,12.043805612594111,73,275,Partner,2,4,1
Postgraduate,38179.0,30,38,4,22,4,2,3,1,3,7,11.937029431895962,59,90,Partner,2,4,1
Graduate,80124.0,47,483,84,398,205,84,3,7,8,1,10.652977412731008,62,1495,Partner,0,2,0
Postgraduate,38097.0,70,77,2,35,0,1,3,2,2,7,12.347707049965775,55,184,Partner,2,4,1
Graduate,72940.0,13,182,74,298,162,149,3,3,6,1,11.671457905544148,55,981,Partner,0,2,0
