Jakosc,Powierzchnia,PowierzchniaPiwnicy,LiczbaMscGaraz,PowierzchniaGarazu,RokBudowy,LiczbaLazienek,Powierzchnia1Pietra,LiczbaPokoi,TypGarazu,DlugoscDzialkiPrzyUlicy,Sasiedztwo,Cena
5.0,1327.0,1063.0,2.0,624.0,1959.0,1.0,1327.0,7.0,Detchd,75.0,NAmes,150750.0
8.0,1296.0,1267.0,2.0,471.0,2001.0,2.0,1296.0,6.0,Attchd,69.0,Timber,220000.0
5.0,1721.0,1461.0,2.0,440.0,1968.0,2.0,1721.0,7.0,Attchd,78.0,Sawyer,180000.0
7.0,1682.0,1304.0,2.0,530.0,1970.0,2.0,1682.0,7.0,Attchd,80.0,NWAmes,174000.0
5.0,1214.0,1214.0,1.0,318.0,1967.0,2.0,1214.0,5.0,Attchd,69.0,NAmes,143000.0
7.0,1959.0,1907.0,3.0,766.0,1988.0,3.0,1959.0,9.0,2Types,82.0,Mitchel,171000.0
8.0,1852.0,1004.0,3.0,660.0,1999.0,2.0,1004.0,7.0,Attchd,73.0,CollgCr,230000.0
6.0,1764.0,928.0,2.0,470.0,1997.0,2.0,928.0,7.0,Attchd,65.0,CollgCr,231500.0
4.0,864.0,864.0,0.0,0.0,1971.0,1.0,864.0,5.0,Attchd,70.0,NAmes,115000.0
7.0,1734.0,1734.0,2.0,660.0,2005.0,2.0,1734.0,7.0,Attchd,78.0,CollgCr,260000.0
5.0,1385.0,910.0,2.0,720.0,1952.0,2.0,910.0,6.0,Detchd,71.0,NAmes,166000.0
7.0,1501.0,1490.0,2.0,577.0,1999.0,2.0,1501.0,6.0,Attchd,78.0,CollgCr,204000.0
5.0,1728.0,1728.0,2.0,504.0,1963.0,2.0,1728.0,10.0,Detchd,70.0,Sawyer,125000.0
6.0,1709.0,970.0,2.0,380.0,2004.0,2.0,970.0,7.0,Detchd,24.0,Edwards,130000.0
5.0,875.0,715.0,1.0,180.0,1931.0,1.0,875.0,5.0,Detchd,51.0,BrkSide,105000.0
7.0,2035.0,884.0,2.0,434.0,2001.0,2.0,884.0,8.0,BuiltIn,69.0,Gilbert,222500.0
7.0,1080.0,1080.0,0.0,0.0,2004.0,1.0,1080.0,6.0,Attchd,63.0,SawyerW,141000.0
5.0,1344.0,896.0,1.0,240.0,1936.0,1.0,896.0,7.0,Detchd,69.0,BrkSide,115000.0
5.0,969.0,969.0,2.0,440.0,1975.0,1.0,969.0,5.0,Attchd,120.0,CollgCr,122000.0
8.0,1710.0,1710.0,3.0,866.0,2007.0,2.0,1710.0,6.0,Attchd,107.0,NridgHt,372402.0
6.0,1993.0,825.0,2.0,495.0,1971.0,2.0,1097.0,8.0,Attchd,69.0,NWAmes,190000.0
6.0,1252.0,1602.0,2.0,564.0,1960.0,1.0,1252.0,4.0,Attchd,69.0,ClearCr,235000.0
6.0,1200.0,1200.0,1.0,312.0,1923.0,1.0,1200.0,7.0,Detchd,84.0,OldTown,125000.0
6.0,1096.0,572.0,0.0,0.0,1924.0,1.0,572.0,5.0,Attchd,60.0,Edwards,79000.0
5.0,1040.0,0.0,2.0,625.0,1950.0,1.0,1040.0,5.0,Detchd,60.0,NAmes,109500.0
8.0,1968.0,774.0,3.0,680.0,2009.0,2.0,774.0,8.0,BuiltIn,92.0,Timber,269500.0
7.0,1947.0,991.0,2.0,678.0,2004.0,2.0,991.0,8.0,Attchd,100.0,Somerst,254900.0
7.0,2462.0,1392.0,2.0,576.0,2005.0,2.0,1392.0,9.0,Attchd,134.0,Gilbert,320000.0
6.0,1232.0,1232.0,2.0,516.0,1984.0,2.0,1232.0,6.0,Attchd,69.0,Veenker,162500.0
9.0,2668.0,1572.0,3.0,726.0,2003.0,2.0,1572.0,10.0,BuiltIn,110.0,NridgHt,412500.0
7.0,1541.0,1541.0,2.0,532.0,2005.0,2.0,1541.0,7.0,Attchd,95.0,NridgHt,220000.0
4.0,882.0,882.0,0.0,0.0,1956.0,1.0,882.0,4.0,Attchd,55.0,OldTown,103200.0
6.0,1616.0,1149.0,1.0,216.0,1926.0,2.0,1149.0,5.0,Detchd,40.0,OldTown,152000.0
5.0,1355.0,644.0,0.0,0.0,1940.0,2.0,808.0,6.0,Attchd,62.0,Edwards,127500.0
5.0,1867.0,1617.0,1.0,303.0,1955.0,1.0,1867.0,7.0,Attchd,69.0,ClearCr,190000.0
8.0,2161.0,1582.0,3.0,789.0,2007.0,1.0,1610.0,8.0,Attchd,86.0,NridgHt,325624.0
7.0,1720.0,840.0,2.0,440.0,2004.0,2.0,840.0,7.0,Attchd,62.0,Gilbert,183500.0
8.0,1707.0,1686.0,2.0,511.0,1981.0,2.0,1707.0,6.0,Attchd,69.0,Timber,228000.0
5.0,1382.0,720.0,2.0,660.0,1941.0,1.0,854.0,7.0,Detchd,69.0,OldTown,128500.0
6.0,1656.0,1080.0,2.0,528.0,1960.0,1.0,1656.0,7.0,Attchd,141.0,NAmes,215000.0
7.0,1767.0,1064.0,2.0,504.0,1987.0,2.0,1064.0,5.0,Attchd,44.0,StoneBr,239000.0
6.0,1362.0,1362.0,2.0,504.0,1961.0,1.0,1362.0,6.0,Attchd,80.0,NAmes,163000.0
6.0,1651.0,1606.0,2.0,616.0,1986.0,2.0,1651.0,7.0,Attchd,47.0,Timber,184000.0
6.0,2158.0,1202.0,2.0,576.0,1950.0,2.0,2158.0,7.0,Attchd,84.0,Edwards,243000.0
6.0,2060.0,1151.0,2.0,521.0,1988.0,2.0,1164.0,8.0,Attchd,97.0,ClearCr,211000.0
5.0,1920.0,1052.0,2.0,451.0,1958.0,2.0,1252.0,8.0,Attchd,69.0,Sawyer,172500.0
9.0,2234.0,2216.0,3.0,1166.0,2008.0,2.0,2234.0,9.0,Attchd,63.0,StoneBr,501837.0
5.0,968.0,968.0,2.0,480.0,1923.0,1.0,968.0,5.0,Detchd,60.0,OldTown,100000.0
6.0,1525.0,756.0,2.0,440.0,2000.0,2.0,769.0,5.0,Detchd,69.0,Somerst,177000.0
7.0,1802.0,793.0,1.0,216.0,1920.0,1.0,901.0,9.0,Detchd,54.0,Crawfor,200100.0
5.0,1340.0,0.0,1.0,252.0,1957.0,1.0,1340.0,7.0,Attchd,60.0,Edwards,120000.0
7.0,2082.0,1362.0,2.0,484.0,2003.0,2.0,1362.0,6.0,Detchd,63.0,OldTown,200000.0
5.0,1252.0,504.0,2.0,576.0,1908.0,1.0,936.0,5.0,Attchd,92.0,BrkSide,127000.0
10.0,3608.0,1107.0,3.0,840.0,1892.0,2.0,1518.0,12.0,Detchd,90.0,OldTown,475000.0
7.0,1217.0,1188.0,2.0,497.0,1990.0,2.0,1217.0,6.0,Attchd,69.0,Mitchel,173000.0
5.0,1656.0,660.0,1.0,180.0,1916.0,2.0,808.0,8.0,Detchd,60.0,OldTown,135000.0
5.0,1224.0,1086.0,2.0,528.0,1979.0,0.0,1224.0,6.0,Detchd,64.0,SawyerW,153337.0
8.0,1593.0,1593.0,2.0,682.0,2001.0,1.0,1593.0,5.0,Attchd,41.0,StoneBr,286000.0
8.0,2727.0,853.0,2.0,440.0,1932.0,2.0,1549.0,10.0,Detchd,70.0,Crawfor,315000.0
7.0,1479.0,725.0,2.0,484.0,1972.0,1.0,725.0,7.0,Attchd,69.0,NAmes,184000.0
7.0,1431.0,1431.0,2.0,666.0,1999.0,2.0,1431.0,6.0,Attchd,68.0,CollgCr,192000.0
7.0,1709.0,970.0,2.0,380.0,2004.0,2.0,970.0,7.0,Detchd,24.0,Edwards,130000.0
5.0,864.0,864.0,1.0,352.0,1972.0,1.0,864.0,5.0,Detchd,60.0,CollgCr,127000.0
6.0,1456.0,855.0,2.0,440.0,1976.0,2.0,855.0,7.0,Attchd,24.0,NPkVill,148500.0
7.0,1726.0,1726.0,3.0,786.0,2007.0,2.0,1726.0,8.0,Attchd,79.0,Somerst,311872.0
8.0,3112.0,1360.0,2.0,795.0,1918.0,2.0,1360.0,8.0,Detchd,174.0,NAmes,235000.0
6.0,2229.0,755.0,0.0,0.0,1912.0,1.0,929.0,8.0,Attchd,92.0,OldTown,104000.0
8.0,1713.0,1713.0,3.0,856.0,2004.0,2.0,1713.0,7.0,Attchd,76.0,NridgHt,274900.0
4.0,1121.0,1121.0,2.0,440.0,2003.0,2.0,1121.0,5.0,Attchd,80.0,Edwards,140000.0
6.0,1279.0,1196.0,2.0,473.0,1977.0,2.0,1279.0,6.0,Detchd,75.0,Mitchel,171500.0
6.0,1310.0,617.0,1.0,398.0,1924.0,2.0,865.0,6.0,Attchd,50.0,OldTown,112000.0
6.0,848.0,848.0,2.0,420.0,2004.0,1.0,848.0,3.0,Attchd,69.0,CollgCr,149000.0
5.0,1284.0,720.0,1.0,240.0,1947.0,1.0,720.0,5.0,Detchd,50.0,OldTown,110000.0
7.0,1442.0,1424.0,2.0,500.0,1990.0,2.0,1442.0,5.0,Attchd,99.0,Gilbert,180500.0
5.0,1696.0,1140.0,1.0,349.0,1962.0,1.0,1696.0,8.0,Attchd,40.0,Sawyer,143900.0
4.0,1100.0,1100.0,1.0,312.0,1960.0,1.0,1100.0,6.0,Attchd,69.0,NAmes,141000.0
7.0,2062.0,1157.0,2.0,454.0,1988.0,2.0,1180.0,7.0,Attchd,69.0,SawyerW,277000.0
6.0,1092.0,1092.0,2.0,504.0,1964.0,1.0,1092.0,6.0,Attchd,75.0,NAmes,145000.0
5.0,864.0,864.0,0.0,0.0,1925.0,1.0,864.0,5.0,Attchd,67.0,Edwards,98000.0
6.0,1212.0,1212.0,2.0,460.0,2009.0,2.0,1212.0,6.0,Attchd,83.0,Edwards,186000.0
7.0,1852.0,900.0,2.0,644.0,2009.0,2.0,932.0,7.0,Attchd,72.0,Somerst,252678.0
5.0,990.0,990.0,2.0,576.0,1995.0,1.0,990.0,5.0,Attchd,43.0,CollgCr,156000.0
6.0,1392.0,689.0,1.0,299.0,1977.0,1.0,689.0,6.0,Attchd,69.0,CollgCr,161750.0
5.0,1236.0,1070.0,1.0,447.0,1957.0,1.0,1236.0,6.0,Attchd,72.0,NAmes,134450.0
7.0,1436.0,1436.0,2.0,484.0,2004.0,2.0,1436.0,8.0,Attchd,65.0,CollgCr,210000.0
4.0,1328.0,686.0,1.0,210.0,1925.0,1.0,810.0,8.0,Detchd,57.0,OldTown,107000.0
7.0,1954.0,798.0,2.0,431.0,1939.0,1.0,1137.0,8.0,Attchd,69.0,Crawfor,311500.0
7.0,1248.0,1248.0,2.0,438.0,2005.0,2.0,1248.0,5.0,Attchd,43.0,Blmngtn,167240.0
7.0,1498.0,1498.0,2.0,675.0,2006.0,2.0,1498.0,5.0,Attchd,73.0,CollgCr,204900.0
6.0,2267.0,1010.0,2.0,390.0,2002.0,2.0,1010.0,8.0,BuiltIn,69.0,Gilbert,200000.0
6.0,1552.0,713.0,2.0,434.0,1975.0,2.0,811.0,6.0,Attchd,85.0,NWAmes,179900.0
4.0,864.0,864.0,2.0,576.0,1971.0,1.0,864.0,4.0,Detchd,70.0,NAmes,97000.0
10.0,2392.0,2392.0,3.0,968.0,2003.0,2.0,2392.0,8.0,Attchd,103.0,NridgHt,386250.0
5.0,1302.0,630.0,1.0,280.0,1971.0,2.0,630.0,6.0,Detchd,21.0,BrDale,112000.0
7.0,2520.0,1203.0,3.0,721.0,1995.0,2.0,1214.0,9.0,Attchd,82.0,NoRidge,290000.0
6.0,987.0,483.0,1.0,280.0,1970.0,1.0,483.0,5.0,Detchd,21.0,BrDale,106000.0
5.0,912.0,912.0,1.0,336.0,1967.0,1.0,912.0,5.0,Detchd,70.0,Sawyer,125000.0
7.0,1555.0,1373.0,2.0,430.0,2005.0,2.0,1555.0,7.0,Attchd,43.0,Blmngtn,192500.0
6.0,1194.0,1194.0,1.0,312.0,1959.0,1.0,1194.0,6.0,Attchd,73.0,NAmes,148000.0
8.0,2794.0,1462.0,3.0,810.0,1995.0,2.0,1490.0,9.0,Attchd,174.0,NoRidge,403000.0
6.0,987.0,483.0,1.0,288.0,1972.0,1.0,483.0,5.0,Attchd,21.0,BrDale,94500.0
